VIDEO Video URL,VIDEO Published Date,FACEBOOK FB Video Complete Views 30s Organic,FACEBOOK FB Video Complete Views 30s Paid,FACEBOOK FB Video Complete Views 30s Total,FACEBOOK FB Video Complete Views Organic,FACEBOOK FB Video Complete Views Paid,FACEBOOK FB Video Complete Views Total,FACEBOOK FB Video Views Organic,FACEBOOK FB Video Views Paid,FACEBOOK FB Video Views Total,FACEBOOK Post Shares,FACEBOOK Post Reach,FACEBOOK Post Fan Reach,FACEBOOK Post Likes,FACEBOOK Post Comments,FACEBOOK Post Negative Feedback: Total,Targeted?,Repost?,Bug?
https://www.facebook.com/Upworthy/posts/1080191502021707,8/26/2015,55403,0,55403,24419,0,24419,191795,0,191795,3845,858774,532628,8715,1455,128,N,N,N
https://www.facebook.com/Upworthy/posts/1080271768680347,8/26/2015,15785,0,15785,7283,0,7283,83607,0,83607,1116,323386,263755,1826,241,75,Y,N,N
https://www.facebook.com/Upworthy/posts/1079606372080220,8/25/2015,144514,2659,147173,107161,1869,109030,473073,9387,482460,4077,2257703,1195473,8643,1409,449,N,Y,N
https://www.facebook.com/Upworthy/posts/1079482112092646,8/25/2015,53143,0,53143,18011,0,18011,267342,0,267342,2381,1581936,574036,5874,615,227,Y,N,N
https://www.facebook.com/Upworthy/posts/1078687965505394,8/24/2015,49627,0,49627,26968,0,26968,241312,0,241312,4108,1241146,611943,13081,1166,230,N,Y,N
https://www.facebook.com/Upworthy/posts/1078796085494582,8/24/2015,12482,0,12482,5146,0,5146,80868,0,80868,1016,526931,404789,1249,168,100,N,N,N
https://www.facebook.com/Upworthy/posts/1076946855679505,8/22/2015,8302,0,8302,3732,0,3732,31826,0,31826,298,749336,104247,869,108,35,Y,N,N
https://www.facebook.com/Upworthy/posts/1076783459029178,8/21/2015,58605,0,58605,24988,0,24988,271371,0,271371,3790,1026142,620513,6855,731,248,Y,N,N
https://www.facebook.com/Upworthy/posts/1076592169048307,8/21/2015,325624,35299,360923,149505,11726,161231,1028266,145802,1174068,33662,4859351,777296,90703,13129,1080,Y,N,N
https://www.facebook.com/Upworthy/posts/1075727295801461,8/20/2015,54274,0,54274,27222,0,27222,230839,0,230839,4221,1414151,686252,6515,678,212,N,N,N
https://www.facebook.com/Upworthy/posts/1075879839119540,8/20/2015,139160,0,139160,49532,0,49532,721376,0,721376,26488,2562220,549871,37599,8421,801,Y,N,N
https://www.facebook.com/Upworthy/posts/1075049969202527,8/19/2015,170403,8326,178729,100857,3987,104844,528144,31085,559229,4971,2787208,1091995,19802,1422,386,N,N,N
https://www.facebook.com/Upworthy/posts/1074393505934840,8/18/2015,351786,51940,403726,168724,19559,188283,1167806,227582,1395388,21781,6481725,1591262,39767,3929,868,N,N,N
https://www.facebook.com/Upworthy/posts/1073811245993066,8/17/2015,60523,2076,62599,18678,541,19219,301467,13910,315377,10791,1165234,500942,13461,3373,353,Y,N,N
https://www.facebook.com/Upworthy/posts/1073670049340519,8/17/2015,39853,1425,41278,18369,582,18951,206664,10139,216803,3396,1601031,721937,6251,479,210,N,Y,N
https://www.facebook.com/Upworthy/posts/1071789046195286,8/14/2015,23689,0,23689,11056,0,11056,129080,0,129080,5273,536617,222036,12421,1535,136,Y,N,N
https://www.facebook.com/Upworthy/posts/1071272436246947,8/13/2015,86714,0,86714,51645,0,51645,359623,0,359623,5536,1576727,835892,17282,1060,270,N,Y,N
https://www.facebook.com/Upworthy/posts/1071213746252816,8/13/2015,97933,0,97933,40990,0,40990,297860,0,297860,5487,855780,185500,23080,1766,220,Y,N,N
https://www.facebook.com/Upworthy/posts/1070600086314182,8/12/2015,89666,0,89666,51196,0,51196,345876,0,345876,7201,2054825,740565,18280,2602,228,N,Y,N
https://www.facebook.com/Upworthy/posts/1069489579758566,8/11/2015,7068,0,7068,4021,0,4021,23755,0,23755,849,143604,75045,859,104,27,Y,N,N
https://www.facebook.com/Upworthy/posts/1069764389731085,8/11/2015,43241,0,43241,8842,0,8842,250562,0,250562,5557,1969815,792242,12610,2105,266,N,Y,N
https://www.facebook.com/Upworthy/posts/1068937383147119,8/10/2015,60118,0,60118,13249,0,13249,179414,0,179414,2456,571167,266973,9483,593,139,Y,N,N
